"","V1","V2","V3","V4"
"113",600.049987792969,104.339996337891,336.75,111.129997253418
"114",599.599975585938,103.819999694824,331.079986572266,108.889999389648
"115",613.330017089844,104.23999786377,336.510009765625,110.849998474121
"116",601.640014648438,102.019996643066,329.660003662109,107.410003662109
"117",611.539978027344,103.660003662109,332.290008544922,107.940002441406
"118",604.710021972656,103.629997253418,339.029998779297,105.930000305176
"119",605.820007324219,103.449996948242,340.589996337891,106.529998779297
"120",617.390014648438,104.279998779297,343.179992675781,107.599998474121
"121",614.97998046875,105.610000610352,341.369995117188,106.800003051758
"122",621.52001953125,106.910003662109,355.640014648438,111.300003051758
"123",612.799987792969,107.540000915527,351.890014648438,114.73999786377
"124",611,107.300003051758,347.709991455078,115.25
"125",618.960021972656,108.470001220703,354.390014648438,113.709999084473
"126",624.169982910156,108.730003356934,354.700012207031,113.309997558594
"127",604.669982910156,108.569999694824,352.779998779297,109.620002746582
"128",612.219970703125,109.809997558594,350.489990234375,107.410003662109
"129",616.789978027344,110.220001220703,345.649993896484,105.360000610352
"130",627.190002441406,111.900001525879,350.420013427734,108.330001831055
"131",642.859985351562,111.669998168945,353.160003662109,108.930000305176
"132",642.400024414062,111.629997253418,352.089996337891,112.169998168945
"133",635.090026855469,112.330001831055,347.630004882812,112.830001831055
"134",621.700012207031,112.669998168945,344.459991455078,114.410003662109
"135",616.119995117188,111.849998474121,341.160003662109,112.099998474121
"136",595.559997558594,109.410003662109,336.950012207031,112.25
"137",615.710021972656,110.459999084473,341.660003662109,113.220001220703
"138",619.650024414062,111.389999389648,346.230010986328,113.040000915527
"139",627.919982910156,110.940002441406,351.190002441406,112.550003051758
"140",638.280029296875,112.25,369.790008544922,103.529998779297
"141",635.580017089844,112.680000305176,372.459991455078,89.4000015258789
"142",625.510009765625,113.220001220703,367.809997558594,88.3199996948242
"143",621.869995117188,112.769996643066,373.279998779297,100.139999389648
"144",676.97998046875,113.629997253418,358.320007324219,100.900001525879
"145",695.799987792969,113.819999694824,356.299987792969,102.209999084473
"146",700,113.23999786377,351.950012207031,105.040000915527
"147",701.340026855469,114.800003051758,351.239990234375,93.0599975585938
"148",708.010009765625,114.26000213623,358.920013427734,93.0199966430664
"149",699.219970703125,115.300003051758,362.970001220703,87.7099990844727
"150",693.669982910156,115.410003662109,363.510009765625,87
"151",686.559997558594,115.180000305176,361.609985351562,92.4499969482422
"152",687.380004882812,115.870002746582,361.130004882812,91.3499984741211
"153",687.780029296875,116.76000213623,359.959991455078,93
"154",704.27001953125,116.51000213623,362.649993896484,92
"155",691.190002441406,117.169998168945,363.179992675781,89.6600036621094
"156",690.75,118.190002441406,366.559997558594,85.3399963378906
"157",680.890014648438,117.040000915527,358.450012207031,83.7600021362305
"158",675.260009765625,114.709999084473,355.450012207031,83.7600021362305
"159",679.859985351562,115.26000213623,355.119995117188,78.9199981689453
"160",681.570007324219,115.419998168945,359.369995117188,80.629997253418
"161",697.5,115.470001220703,363.350006103516,85.0199966430664
"162",712.840026855469,114.290000915527,365.510009765625,92.6500015258789
"163",716.900024414062,114.230003356934,368.390014648438,91.9499969482422
"164",696.559997558594,113.389999389648,364.380004882812,91.2600021362305
"165",701.849975585938,114.370002746582,372.630004882812,92.7600021362305
"166",702.109985351562,114.519996643066,380.660003662109,89.620002746582
"167",709,114.470001220703,379.380004882812,97.4199981689453
"168",718.719970703125,113.620002746582,382.049987792969,96.9000015258789
"169",729.030029296875,113.720001220703,375.279998779297,94.9100036621094
"170",721.5,113.599998474121,376.260009765625,92.9899978637695
"171",716.210021972656,111.290000915527,382.179992675781,95.7300033569336
"172",729.919982910156,112.089996337891,377.570007324219,90.7799987792969
"173",726.409973144531,111.319999694824,378,88.9100036621094
"174",720.669982910156,110.300003051758,378.690002441406,88.4499969482422
"175",710.679992675781,109.449996948242,376.510009765625,88.1800003051758
"176",706.450012207031,109.660003662109,376.529998779297,84.5199966430664
"177",710.309997558594,109.709999084473,373.920013427734,84.9599990844727
"178",728.289978027344,109.370002746582,373.059997558594,84.3399963378906
"179",719.380004882812,108.779998779297,364.720001220703,82.879997253418
"180",709.640014648438,108.379997253418,355.700012207031,80.0599975585938
"181",709.150024414062,108.5,357.480010986328,79.9499969482422
"182",716.609985351562,109.370002746582,343.209991455078,81.3300018310547
"183",727.109985351562,110.309997558594,345.959991455078,81.5899963378906
"184",725.239990234375,109.980003356934,352.959991455078,81.3399963378906
