"","V1","V2","V3","V4"
"73",130.889999389648,106.830001831055,192.75,135.25
"74",128.589996337891,106.730003356934,192.809997558594,133.399993896484
"75",135.050003051758,108.930000305176,194.309997558594,136.190002441406
"76",131.75,111.349998474121,194.830001831055,132.970001220703
"77",134.860000610352,112.620002746582,195.860000610352,135.429992675781
"78",137.300003051758,112.379997253418,195.139999389648,138.960006713867
"79",136.779998779297,111.699996948242,195.889999389648,138.009994506836
"80",135.690002441406,114.269996643066,186.619995117188,136.570007324219
"81",135.389999389648,115.099998474121,188.399993896484,142.679992675781
"82",132.710006713867,112.059997558594,186.990005493164,138.800003051758
"83",132.850006103516,110.410003662109,191.460006713867,137.429992675781
"84",128.720001220703,109.110000610352,193.970001220703,134.119995117188
"85",130.289993286133,107.690002441406,193.660003662109,134.649993896484
"86",131.729995727539,109.76000213623,195.320007324219,136
"87",132.949996948242,109.860000610352,194.889999389648,137.850006103516
"88",124.690002441406,105.540000915527,194.399993896484,128.940002441406
"89",123.550003051758,106.449996948242,194.470001220703,128.369995117188
"90",114.879997253418,104.629997253418,189.440002441406,124.620002746582
"91",119.919998168945,101.51000213623,192.520004272461,127.110000610352
"92",124.830001831055,105.339996337891,194.639999389648,130.149993896484
"93",123.569999694824,104.900001525879,194.570007324219,129.800003051758
"94",121.809997558594,108.610000610352,192.539993286133,128.910003662109
"95",124.800003051758,110.26000213623,190.839996337891,130.660003662109
"96",130.309997558594,119.069999694824,194.139999389648,132.639999389648
"97",128.660003662109,117.389999389648,195.279998779297,131.460006713867
"98",134.580001831055,113.5,197.039993286133,132.910003662109
"99",137.5,114.470001220703,195.199996948242,133.75
"100",136.899993896484,116.319999694824,194.380004882812,133.089996337891
"101",137.820007324219,116.360000610352,197.240005493164,133.639999389648
"102",138.130004882812,117.930000305176,196.020004272461,134.539993286133
"103",138.210006713867,118.580001831055,196.710006713867,133.940002441406
"104",139.009994506836,115.410003662109,198.440002441406,133.820007324219
"105",136.380004882812,113.660003662109,196.990005493164,131.779998779297
"106",139.850006103516,114.440002441406,197.720001220703,134.339996337891
"107",138.970001220703,113.889999389648,196.720001220703,133.320007324219
"108",135.860000610352,113.230003356934,198.880004882812,134.199996948242
"109",134.649993896484,110.319999694824,198.190002441406,132.889999389648
"110",137.160003662109,113.110000610352,200.059997558594,134.220001220703
"111",136.820007324219,113.089996337891,199.649993896484,134.619995117188
"112",139.029998779297,114.160003662109,199.169998168945,137.309997558594
"113",138.639999389648,111.129997253418,199.029998779297,135.580001831055
"114",136.979995727539,108.889999389648,197.229995727539,134.949996948242
"115",137.320007324219,110.849998474121,197.5,135.350006103516
